Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2015 Cap,year
54  ,DET , Ameer Abdullah ,RB,21,Nebraska,4,"$4,156,126","$1,282,637","$755,659",2015
55  ,BAL  from ARI, Maxx Williams ,TE,21,Minnesota,4,"$4,052,738","$1,207,446","$736,861",2015
56  ,PIT , Senquez Golson ,CB,21,Mississippi,4,"$4,001,041","$1,169,848","$727,462",2015
57  ,STL  from CAR, Rob Havenstein ,RT,22,Wisconsin,4,"$3,970,021","$1,147,288","$721,822",2015
58  ,ARI  from BAL, Markus Golden ,DE,24,Missouri,4,"$3,918,330","$1,109,695","$712,424",2015
59  ,DEN , Ty Sambrailo ,LT,23,Colorado State,4,"$3,845,955","$1,057,058","$637,322",2015
60  ,DAL , Randy Gregory ,OLB,22,Nebraska,4,"$3,814,936","$1,034,499","$693,624",2015
61  ,TB  from IND, Ali Marpet ,G,22,Hobart,4,"$3,773,586","$1,004,424","$686,106",2015
62  ,GB , Quinten Rollins ,CB,22,Miami (OH),4,"$3,742,566","$981,864","$680,466",2015
63  ,SEA , Frank Clark ,DE,21,Michigan,4,"$3,732,225","$974,346","$678,586",2015
64  ,NE , Jordan Richards ,SS,22,Stanford,4,"$3,711,548","$959,307","$674,827",2015
65  ,IND  from TB, D'Joun Smith ,CB,22,Florida Atlantic,4,"$3,359,787","$808,846","$582,152",2015
66  ,TEN , Jeremiah Poutasi ,RT,20,Utah,4,"$3,385,844","$802,259","$635,564",2015
67  ,JAC , A.J. Cann ,G,23,South Carolina,4,"$3,372,596","$801,596","$635,399",2015
68  ,OAK , Clive Walford ,TE,23,Miami (FL),4,"$3,345,450","$794,504","$633,626",2015
69  ,SEA  from WAS, Tyler Lockett ,WR,22,Kansas State,4,"$3,318,751","$786,751","$631,687",2015
70  ,HOU  from NYJ, Jaelen Strong ,WR,21,Arizona State,4,"$3,281,346","$771,980","$627,995",2015
71  ,CHI , Hroniss Grasu ,C,23,Oregon,4,"$3,258,919","$761,919","$625,479",2015
72  ,STL , Jamon Brown ,RT,22,Louisville,4,"$3,243,261","$754,816","$575,527",2015
73  ,ATL , Tevin Coleman ,RB,22,Indiana,4,"$3,219,372","$745,244","$621,311",2015
74  ,NYG , Owamagbe Odighizuwa ,DE,23,California-Los Angeles,4,"$3,160,501","$740,500","$620,125",2015
75  ,NO , Garrett Grayson ,QB,23,Colorado State,4,"$3,400,605","$733,167","$618,291",2015
76  ,KC  from MIN, Chris Conley ,WR,22,Georgia,4,"$3,123,684","$712,434","$613,108",2015
77  ,CLE , Duke Johnson ,RB,21,Miami (FL),4,"$3,105,092","$710,092","$612,523",2015
78  ,NO  from MIA, P.J. Williams ,CB,21,Florida State,4,"$3,061,619","$706,619","$494,654",2015
79  ,SF , Eli Harold ,OLB,21,Virginia,4,"$3,056,373","$697,373","$609,343",2015
80  ,DET  from KC via MIN, Alex Carter ,S,20,Stanford,4,"$3,058,747","$688,747","$552,127",2015
81  ,BUF , John Miller ,G,21,Louisville,4,"$2,960,120","$680,120","$605,030",2015
82  ,NYJ  from HOU, Lorenzo Mauldin ,OLB,22,Louisville,4,"$3,008,018","$674,017","$603,504",2015
83  ,SD , Craig Mager ,CB,22,Texas State,4,"$2,994,828","$661,578","$600,394",2015
84  ,PHI , Jordan Hicks ,ILB,23,Texas,4,"$2,992,732","$652,732","$543,124",2015
85  ,CIN , Tyler Kroft ,TE,22,Rutgers,4,"$3,001,276","$647,776","$596,944",2015
86  ,ARI , David Johnson ,RB,23,Northern Iowa,4,"$2,919,373","$639,373","$594,843",2015
87  ,PIT , Sammie Coates ,WR,22,Auburn,4,"$2,911,515","$631,515","$592,878",2015
88  ,MIN  from DET, Danielle Hunter ,DE,20,Louisiana State,4,"$2,969,721","$627,223","$591,805",2015
89  ,STL  from CAR, Sean Mannion ,QB,23,Oregon State,4,"$3,250,897","$625,797","$591,449",2015
90  ,BAL , Carl Davis ,DT,23,Iowa,4,"$2,952,334","$625,084","$591,271",2015
91  ,DAL , Chaz Green ,G,23,Florida,4,"$2,909,978","$624,371","$549,799",2015
92  ,DEN , Jeff Heuerman ,TE,22,Ohio State,4,"$2,813,806","$620,806","$473,201",2015
93  ,IND , Henry Anderson ,DE,23,Stanford,4,"$2,882,117","$613,676","$533,360",2015
94  ,GB , Ty Montgomery ,RB,22,Stanford,4,"$2,948,795","$606,545","$572,871",2015
95  ,WAS  from SEA, Matt Jones ,RB,22,Florida,4,"$2,951,415","$599,415","$584,853",2015
96  ,CLE  from NE, Xavier Cooper ,DE,23,Washington State,4,"$2,907,284","$592,284","$583,071",2015
97 (C) ,NE , Geno Grissom ,DE,22,Oklahoma,4,"$2,891,952","$581,952","$580,488",2015
98 (C) ,KC , Steven Nelson ,CB,22,Oregon State,4,"$2,917,452","$581,952","$580,488",2015
99 (C) ,CIN , Paul Dawson ,OLB,22,Texas Christian,4,"$2,891,952","$581,952","$580,488",2015
100  ,TEN , Angelo Blackson ,DE,22,Auburn,4,"$2,851,615","$571,615","$577,903",2015
101  ,NE  from TB, Trey Flowers ,DE,21,Arkansas,4,"$2,838,932","$558,932","$540,321",2015
102  ,CAR  from OAK, Daryl Williams ,RT,22,Oklahoma,4,"$2,837,120","$557,120","$574,280",2015
103  ,NYJ  from JAC, Bryce Petty ,QB,23,Baylor,4,"$2,833,697","$553,697","$573,424",2015
104  ,JAC  from NYJ, James Sample ,FS,22,Louisville,4,"$2,828,582","$548,582","$523,968",2015
105  ,WAS , Jamison Crowder ,WR,21,Duke,4,"$2,825,624","$545,624","$571,406",2015
106  ,CHI , Jeremy Langford ,RB,23,Michigan State,4,"$2,823,623","$543,623","$570,906",2015
107  ,ATL , Justin Hardy ,WR,23,East Carolina,4,"$2,820,821","$540,821","$570,205",2015
108  ,TEN  from NYG, Jalston Fowler ,FB,24,Alabama,4,"$2,817,716","$537,716","$569,429",2015
109  ,IND  from STL via TB, Clayton Geathers ,FS,22,Central Florida,4,"$2,813,930","$533,930","$568,482",2015
110  ,MIN , T.J. Clemmings ,RT,23,Pittsburgh,4,"$2,804,955","$524,955","$566,238",2015
111  ,NE  from CLE, Tre' Jackson ,G,22,Florida State,4,"$2,803,740","$523,740","$565,935",2015
112  ,WAS  from NO via SEA, Arie Kouandjio ,G,23,Alabama,4,"$2,801,670","$521,670","$565,417",2015
113  ,DET  from SF via BUF via PHI, Gabe Wright ,DT,23,Auburn,4,"$2,801,155","$521,155","$565,288",2015
114  ,MIA , Jamil Douglas ,C,23,Arizona State,4,"$2,798,565","$518,565","$564,641",2015
115  ,CLE  from BUF, Ibraheim Campbell ,SS,22,Northwestern,4,"$2,792,010","$512,010","$563,002",2015
116  ,ARI  from HOU via CLE, Rodney Gunter ,DT,23,Delaware State,4,"$2,789,917","$509,917","$562,479",2015
117  ,SF  from SD, Blake Bell ,TE,23,Oklahoma,4,"$2,785,132","$505,132","$561,283",2015
118  ,KC , Ramik Wilson ,ILB,22,Georgia,4,"$2,807,123","$500,123","$560,030",2015
119  ,STL  from PHI, Andrew Donnal ,RT,23,Iowa,4,"$2,776,935","$496,935","$559,233",2015
120  ,CIN , Josh Shaw ,CB,23,Southern California,4,"$2,773,724","$493,724","$558,431",2015
121  ,PIT , Doran Grant ,CB,22,Ohio State,4,"$2,769,013","$489,013","$557,253",2015
122  ,BAL  from DET, Za'Darius Smith ,OLB,22,Kentucky,4,"$2,763,152","$483,152","$555,788",2015
123  ,CLE  from ARI, Vince Mayle ,WR,23,Washington State,4,"$2,763,152","$483,152","$555,788",2015
124  ,TB  from CAR via OAK, Kwon Alexander ,ILB,20,Louisiana State,4,"$2,758,322","$478,322","$429,041",2015
