rank,team,name,salary,year
,,"
Maurice Evans
Shooting Guard
","$854,389  ",2011
346,,"
Chandler Parsons
Small Forward
","$850,000  ",2011
347,,"
Solomon Alabi
Center
","$830,000  ",2011
348,,"
Michael Redd
Shooting Guard
","$826,828  ",2011
349,,"
Lance Stephenson
Shooting Guard
","$800,000  ",2011
350,,"
Nate Robinson
Point Guard
","$785,487  ",2011
351,,"
Tyler Honeycutt
Small Forward
","$775,000  ",2011
352,,"
Yi Jianlian
Power Forward
","$771,706  ",2011
353,,"
Chris Johnson
Power Forward
","$762,195  ",2011
,,"
Hassan Whiteside
Center
","$762,195  ",2011
,,"
Devin Ebanks
Small Forward
","$762,195  ",2011
,,"
Dexter Pittman
Center
","$762,195  ",2011
,,"
Jeremy Evans
Small Forward
","$762,195  ",2011
358,,"
Craig Smith
Power Forward
","$711,748  ",2011
,,"
T.J. Ford
Point Guard
","$711,748  ",2011
,,"
Juwan Howard
Power Forward
","$711,748  ",2011
,,"
Eddy Curry
Center
","$711,748  ",2011
362,,"
Damien Wilkins
Shooting Guard
","$687,679  ",2011
,,"
Danny Green
Shooting Guard
","$687,679  ",2011
364,,"
Joel Przybilla
Center
","$655,616  ",2011
365,,"
Jeremy Tyler
Power Forward
","$650,000  ",2011
366,,"
Erick Dampier
Center
","$635,128  ",2011
367,,"
Gary Neal
Point Guard
","$613,474  ",2011
,,"
Greg Stiemsma
Center
","$613,474  ",2011
,,"
Semih Erden
Center
","$613,474  ",2011
,,"
Luke Harangody
Power Forward
","$613,474  ",2011
,,"
Samardo Samuels
Center
","$613,474  ",2011
,,"
Jeremy Lin
Point Guard
","$613,474  ",2011
,,"
Landry Fields
Small Forward
","$613,474  ",2011
374,,"
Mike James
Point Guard
","$574,517  ",2011
375,,"
Josh Selby
Point Guard
","$550,000  ",2011
376,,"
Ishmael Smith
Point Guard
","$522,472  ",2011
377,,"
Malcolm Lee
Shooting Guard
","$500,000  ",2011
378,,"
Julyan Stone
Point Guard
","$473,604  ",2011
,,"
Justin Harper
Small Forward
","$473,604  ",2011
,,"
DeAndre Liggins
Shooting Guard
","$473,604  ",2011
,,"
Charles Jenkins
Point Guard
","$473,604  ",2011
,,"
Chris Wright
Small Forward
","$473,604  ",2011
,,"
LaVoy Allen
Power Forward
","$473,604  ",2011
,,"
Greg Smith
Center
","$473,604  ",2011
,,"
Isaiah Thomas
Point Guard
","$473,604  ",2011
,,"
Travis Leslie
Shooting Guard
","$473,604  ",2011
,,"
Trey Thompkins
Power Forward
","$473,604  ",2011
,,"
Andrew Goudelock
Point Guard
","$473,604  ",2011
,,"
Darius Morris
Point Guard
","$473,604  ",2011
,,"
Ivan Johnson
Power Forward
","$473,604  ",2011
,,"
Jon Leuer
Power Forward
","$473,604  ",2011
,,"
Jordan Williams
Power Forward
","$473,604  ",2011
,,"
Shelvin Mack
Point Guard
","$473,604  ",2011
394,,"
Kyrylo Fesenko
Center
","$435,000  ",2011
395,,"
DeMarre Carroll
Small Forward
","$432,572  ",2011
396,,"
Andre Emmett
Shooting Guard
","$415,742  ",2011
397,,"
Vernon Macklin
Center
","$381,193  ",2011
,,"
Terrel Harris
Shooting Guard
","$381,193  ",2011
,,"
E'Twaun Moore
Shooting Guard
","$381,193  ",2011
,,"
Cory Higgins
Shooting Guard
","$381,193  ",2011
,,"
Josh Harrellson
Power Forward
","$381,193  ",2011
,,"
Jerome Jordan
Center
","$381,193  ",2011
403,,"
Walker Russell Jr
Point Guard
","$374,300  ",2011
404,,"
Carlos Arroyo
Point Guard
","$358,292  ",2011
405,,"
Ronny Turiaf
Center
","$340,305  ",2011
406,,"
Gerald Green
Shooting Guard
","$277,540  ",2011
407,,"
Gilbert Arenas
Shooting Guard
","$270,993  ",2011
408,,"
Kelenna Azubuike
Small Forward
","$270,738  ",2011
409,,"
Jeff Adrien
Small Forward
","$270,427  ",2011
410,,"
Patrick Mills
Point Guard
","$261,829  ",2011
411,,"
Ryan Hollins
Center
","$248,048  ",2011
412,,"
Bobby Simmons
Small Forward
","$242,467  ",2011
413,,"
Boris Diaw
Center
","$241,158  ",2011
414,,"
Earl Barron
Power Forward
","$224,252  ",2011
415,,"
Mike James
Point Guard
","$204,875  ",2011
416,,"
Manny Harris
Shooting Guard
","$202,842  ",2011
417,,"
Terrence Williams
Shooting Guard
","$186,036  ",2011
418,,"
Carldell Johnson
Shooting Guard
","$179,395  ",2011
419,,"
Mickell Gladness
Power Forward
","$177,224  ",2011
420,,"
Lance Thomas
Small Forward
","$172,224  ",2011
421,,"
Mike James
Point Guard
","$167,625  ",2011
422,,"
Donald Sloan
Point Guard
","$129,168  ",2011
423,,"
Courtney Fortson
Shooting Guard
","$118,401  ",2011
424,,"
Erick Dampier
Center
","$102,440  ",2011
425,,"
Mickell Gladness
Power Forward
","$99,304  ",2011
426,,"
Gerald Green
Shooting Guard
","$97,139  ",2011
427,,"
Jamorio Moon
Power Forward
","$96,017  ",2011
428,,"
Malcolm Thomas
Power Forward
","$93,937  ",2011
429,,"
Francisco Elson
Center
","$92,665  ",2011
430,,"
Solomon Jones
Power Forward
","$90,246  ",2011
431,,"
James Singleton
Small Forward
","$82,683  ",2011
,,"
Earl Boykins
Point Guard
","$82,683  ",2011
433,,"
Erick Dampier
Center
","$81,952  ",2011
434,,"
Keith Bogans
Small Forward
","$77,120  ",2011
435,,"
Mikki Moore
Power Forward
","$75,793  ",2011
,,"
Alan Anderson
Shooting Guard
","$75,793  ",2011
437,,"
Solomon Jones
Power Forward
","$75,205  ",2011
438,,"
Francisco Elson
Center
","$74,132  ",2011
439,,"
Bobby Simmons
Small Forward
","$71,314  ",2011
,,"
Bobby Simmons
Small Forward
","$71,314  ",2011
441,,"
Dan Gadzuric
Center
","$69,393  ",2011
442,,"
Armon Johnson
Point Guard
","$69,288  ",2011
443,,"
Morris Almond
Shooting Guard
","$68,902  ",2011
