rank,team,name,salary,year
,,"
Derrick Rose
Point Guard
","$1,512,601  ",2018
,,"
Jose Calderon
Point Guard
","$1,512,601  ",2018
,,"
Zaza Pachulia
Center
","$1,512,601  ",2018
,,"
Ian Clark
Shooting Guard
","$1,512,601  ",2018
,,"
Christian Wood
Power Forward
","$1,512,601  ",2018
,,"
Georges Niang
Small Forward
","$1,512,601  ",2018
,,"
Jonas Jerebko
Power Forward
","$1,512,601  ",2018
,,"
Kevon Looney
Small Forward
","$1,512,601  ",2018
,,"
Jeff Green
Small Forward
","$1,512,601  ",2018
,,"
Noah Vonleh
Power Forward
","$1,512,601  ",2018
,,"
Gerald Green
Shooting Guard
","$1,512,601  ",2018
,,"
Raymond Felton
Point Guard
","$1,512,601  ",2018
,,"
Vince Carter
Shooting Guard
","$1,512,601  ",2018
355,,"
Sviatoslav Mykhailiuk
Shooting Guard
","$1,487,694  ",2018
356,,"
Mitchell Robinson
Center
","$1,485,440  ",2018
357,,"
Sindarius Thornwell
Shooting Guard
","$1,378,242  ",2018
,,"
Dwayne Bacon
Small Forward
","$1,378,242  ",2018
,,"
Dillon Brooks
Small Forward
","$1,378,242  ",2018
,,"
Tyler Dorsey
Shooting Guard
","$1,378,242  ",2018
,,"
Ivan Rabb
Power Forward
","$1,378,242  ",2018
,,"
Frank Mason
Point Guard
","$1,378,242  ",2018
,,"
Maxi Kleber
Power Forward
","$1,378,242  ",2018
,,"
Sterling Brown
Shooting Guard
","$1,378,242  ",2018
,,"
Frank Jackson
Point Guard
","$1,378,242  ",2018
,,"
Royce O'Neale
Small Forward
","$1,378,242  ",2018
,,"
Jordan Bell
Center
","$1,378,242  ",2018
,,"
Thomas Bryant
Center
","$1,378,242  ",2018
,,"
Damyean Dotson
Shooting Guard
","$1,378,242  ",2018
,,"
Abdel Nader
Small Forward
","$1,378,242  ",2018
,,"
Khem Birch
Center
","$1,378,242  ",2018
,,"
Wesley Iwundu
Small Forward
","$1,378,242  ",2018
,,"
Semi Ojeleye
Power Forward
","$1,378,242  ",2018
,,"
Daniel Theis
Power Forward
","$1,378,242  ",2018
375,,"
Tyrone Wallace
Shooting Guard
","$1,349,383  ",2018
,,"
Ryan Arcidiacono
Point Guard
","$1,349,383  ",2018
,,"
Antonio Blakeney
Shooting Guard
","$1,349,383  ",2018
,,"
Monte Morris
Point Guard
","$1,349,383  ",2018
,,"
Alfonzo McKinnie
Power Forward
","$1,349,383  ",2018
380,,"
Tyson Chandler
Center
","$1,333,140  ",2018
381,,"
Shaquille Harrison
Point Guard
","$1,311,264  ",2018
382,,"
Élie Okobo
Point Guard
","$1,238,464  ",2018
383,,"
Jalen Brunson
Point Guard
","$1,230,000  ",2018
384,,"
Joakim Noah
Center
","$1,093,858  ",2018
385,,"
Melvin Frazier
Small Forward
","$1,050,000  ",2018
386,,"
Isaac Bonga
Point Guard
","$1,000,000  ",2018
387,,"
Devonte' Graham
Point Guard
","$988,464  ",2018
388,,"
De'Anthony Melton
Point Guard
","$949,000  ",2018
389,,"
Austin Rivers
Shooting Guard
","$922,943  ",2018
390,,"
Chasson Randle
Point Guard
","$869,094  ",2018
391,,"
Jevon Carter
Point Guard
","$838,464  ",2018
,,"
Gary Trent Jr.
Shooting Guard
","$838,464  ",2018
,,"
Ryan Broekhoff
Small Forward
","$838,464  ",2018
,,"
Chimezie Metu
Power Forward
","$838,464  ",2018
,,"
Jarred Vanderbilt
Power Forward
","$838,464  ",2018
