RK,TEAM,GMS,TOTAL,AVG,PCT,year,sport
30,Mavericks,41,825901,20143,104.9,2016,nba
31,Cavaliers,41,843042,20562,100.0,2016,nba
32,Bulls,41,894659,21820,104.3,2016,nba
3,Nuggets,41,605585,14770,77.1,2017,nba
4,Timberwolves,41,607203,14809,76.5,2017,nba
5,Nets,41,632608,15429,85.2,2017,nba
6,Bucks,41,648952,15828,84.6,2017,nba
7,Hawks,41,654306,15958,85.2,2017,nba
8,Pistons,41,655141,15979,72.4,2017,nba
9,Pelicans,41,663099,16173,94.1,2017,nba
10,Grizzlies,41,677314,16519,91.2,2017,nba
11,Pacers,41,684578,16697,91.9,2017,nba
12,Rockets,41,695903,16973,94.1,2017,nba
13,Wizards,41,697107,17002,83.8,2017,nba
14,Suns,41,708639,17283,93.8,2017,nba
15,76ers,41,710557,17330,85.3,2017,nba
16,Hornets,41,710643,17332,90.9,2017,nba
17,Kings,41,721928,17608,100.6,2017,nba
18,Magic,41,727875,17753,94.2,2017,nba
19,Thunder,41,746323,18203,100.0,2017,nba
20,Spurs,41,755347,18423,99.2,2017,nba
21,Celtics,41,760690,18553,99.6,2017,nba
22,Lakers,41,776917,18949,99.4,2017,nba
23,Clippers,41,782609,19088,100.1,2017,nba
24,Trail Blazers,41,792029,19317,99.4,2017,nba
25,Warriors,41,803436,19596,100.0,2017,nba
26,Heat,41,805400,19643,100.2,2017,nba
27,Jazz,41,806605,19673,98.8,2017,nba
28,NY Knicks,41,810741,19774,99.8,2017,nba
29,Mavericks,41,811366,19789,103.1,2017,nba
30,Raptors,41,813050,19830,100.2,2017,nba
31,Cavaliers,41,843042,20562,100.0,2017,nba
32,Bulls,41,888882,21680,103.6,2017,nba
5,Hawks,41,590769,14409,76.9,2018,nba
6,Nets,41,622278,15556,85.9,2018,nba
7,Grizzlies,41,653863,15947,88.0,2018,nba
8,Pacers,41,658119,16051,88.4,2018,nba
9,Hornets,41,671404,16375,85.8,2018,nba
10,Pelicans,41,673920,16437,95.6,2018,nba
11,Bucks,41,685303,16714,89.3,2018,nba
12,Suns,41,674655,16866,91.6,2018,nba
13,Clippers,41,697812,17019,89.3,2018,nba
14,Timberwolves,41,699308,17056,89.9,2018,nba
15,Nuggets,41,702796,17141,89.5,2018,nba
16,Pistons,41,713945,17413,82.9,2018,nba
17,Kings,41,649571,17555,100.3,2018,nba
18,Magic,41,715728,17893,94.9,2018,nba
19,Rockets,41,716008,17900,99.2,2018,nba
20,Jazz,41,734806,17922,90.0,2018,nba
21,Wizards,41,718946,17973,88.6,2018,nba
22,Thunder,41,746323,18203,100.0,2018,nba
23,Spurs,41,754562,18403,99.0,2018,nba
24,Celtics,41,744960,18624,100.0,2018,nba
25,Lakers,41,776327,18934,99.3,2018,nba
26,NY Knicks,41,792608,19331,97.6,2018,nba
27,Trail Blazers,41,795328,19398,99.8,2018,nba
28,Warriors,41,803436,19596,100.0,2018,nba
29,Heat,41,785250,19631,100.2,2018,nba
30,Mavericks,41,811453,19791,103.1,2018,nba
31,Raptors,41,813431,19839,100.2,2018,nba
32,76ers,41,833503,20329,100.0,2018,nba
33,Cavaliers,41,843042,20562,100.0,2018,nba
34,Bulls,41,851824,20776,99.3,2018,nba
1,Cincinnati,8,394009,49251,75.2,2011,nfl
2,Los Angeles,8,451153,56394,86.3,2011,nfl
3,Tampa Bay,7,396300,56614,86.2,2011,nfl
4,Oakland,8,473938,59242,94.0,2011,nfl
5,Miami,8,487089,60886,81.0,2011,nfl
6,Arizona,8,489455,61181,96.5,2011,nfl
7,Chicago,8,497166,62145,101.0,2011,nfl
8,Jacksonville,8,498655,62331,92.8,2011,nfl
9,Buffalo,7,438864,62694,85.8,2011,nfl
10,Minnesota,8,502529,62816,98.0,2011,nfl
11,Pittsburgh,8,504279,63034,97.0,2011,nfl
12,Detroit,8,509940,63742,98.8,2011,nfl
13,Indianapolis,8,518627,64828,102.9,2011,nfl
14,Los Angeles,8,523143,65392,91.7,2011,nfl
15,Cleveland,8,526874,65859,90.0,2011,nfl
16,Seattle,8,531311,66413,99.1,2011,nfl
17,New England,8,550048,68756,100.0,2011,nfl
18,Atlanta,8,551892,68986,96.8,2011,nfl
19,Tennessee,8,553144,69143,100.0,2011,nfl
20,Philadelphia,8,553152,69144,102.3,2011,nfl
21,San Francisco,8,557856,69732,99.3,2011,nfl
22,Green Bay,8,564097,70512,96.7,2011,nfl
23,Baltimore,8,569792,71224,100.3,2011,nfl
24,Houston,8,571969,71496,100.6,2011,nfl
25,Kansas City,8,576659,72082,93.9,2011,nfl
26,Carolina,8,578342,72292,98.0,2011,nfl
27,New Orleans,8,584336,73042,100.1,2011,nfl
28,Denver,8,602618,75327,99.0,2011,nfl
29,Washington,8,615368,76921,83.9,2011,nfl
30,NY Jets,8,631888,78986,95.7,2011,nfl
31,NY Giants,8,635800,79475,96.3,2011,nfl
32,Dallas,8,684096,85512,106.9,2011,nfl
1,Oakland,8,433732,54216,86.0,2012,nfl
2,Tampa Bay,8,440819,55102,83.9,2012,nfl
3,Los Angeles,7,396925,56703,86.8,2012,nfl
4,Miami,8,459033,57379,76.3,2012,nfl
5,Los Angeles,8,479716,59964,84.1,2012,nfl
6,Minnesota,8,485802,60725,94.7,2012,nfl
