name,salary,year
Will Herring,"$1,533,333  ",2011
Chris Kluwe,"$1,513,333  ",2011
Corey Liuget,"$1,511,954  ",2011
Kyle Wilson,"$1,507,400  ",2011
Jerry Hughes,"$1,506,250  ",2011
Willis McGahee,"$1,500,000  ",2011
David Thomas,"$1,500,000  ",2011
Lawrence Tynes,"$1,500,000  ",2011
Joey Porter,"$1,500,000  ",2011
Eric Smith,"$1,500,000  ",2011
Artis Hicks,"$1,500,000  ",2011
Albert Haynesworth,"$1,500,000  ",2011
LeRon McClain,"$1,500,000  ",2011
Adrian Clayborn,"$1,492,758  ",2011
Prince Amukamara,"$1,487,436  ",2011
Dan Connolly,"$1,483,334  ",2011
Gary Guyton,"$1,475,000  ",2011
Patrick Robinson,"$1,474,500  ",2011
Phil Taylor,"$1,471,500  ",2011
Anthony Castonzo,"$1,454,745  ",2011
Marcus Spears,"$1,450,000  ",2011
Ted Ginn Jr.,"$1,443,750  ",2011
Danny Watkins,"$1,442,900  ",2011
Dylan Gandy,"$1,435,000  ",2011
Will Svitek,"$1,420,500  ",2011
Adam Carriker,"$1,420,000  ",2011
