rank,team,name,salary,year
,,"
Travis Benjamin
Wide Receiver
","$4,000,000  ",2016
330,,"
Mike Evans
Wide Receiver
","$3,990,410  ",2016
331,,"
Roy Miller
Defensive Tackle
","$3,975,000  ",2016
332,,"
Sebastian Janikowski
Kicker
","$3,960,000  ",2016
333,,"
Stevie Johnson
Wide Receiver
","$3,900,000  ",2016
334,,"
Tramaine Brock
Cornerback
","$3,880,000  ",2016
335,,"
Chance Warmack
Guard
","$3,871,206  ",2016
336,,"
Tracy Porter
Cornerback
","$3,868,750  ",2016
337,,"
Graham Gano
Kicker
","$3,850,000  ",2016
338,,"
Tamba Hali
Outside Linebacker
","$3,802,083  ",2016
339,,"
Dwayne Harris
Wide Receiver
","$3,800,000  ",2016
340,,"
Jerrell Freeman
Inside Linebacker
","$3,764,706  ",2016
341,,"
Eric Weddle
Free Safety
","$3,750,000  ",2016
342,,"
Domata Peko
Defensive Tackle
","$3,725,000  ",2016
343,,"
Ronnie Stanley
Left Tackle
","$3,724,423  ",2016
344,,"
Zach Strief
Right Tackle
","$3,700,000  ",2016
345,,"
Case Keenum
Quarterback
","$3,635,000  ",2016
346,,"
Kevin White
Wide Receiver
","$3,628,968  ",2016
347,,"
D.J. Fluker
Guard
","$3,628,067  ",2016
348,,"
Ron Parker
Free Safety
","$3,600,000  ",2016
,,"
Dan Skuta
Outside Linebacker
","$3,600,000  ",2016
350,,"
Steven Hauschka
Kicker
","$3,525,000  ",2016
351,,"
Letroy Guion
Defensive End
","$3,516,666  ",2016
352,,"
Jaye Howard
Defensive End
","$3,500,000  ",2016
,,"
Derrick Johnson
Inside Linebacker
","$3,500,000  ",2016
,,"
Earl Mitchell
Defensive Tackle
","$3,500,000  ",2016
,,"
Tyvon Branch
Strong Safety
","$3,500,000  ",2016
,,"
Mike Wallace
Wide Receiver
","$3,500,000  ",2016
,,"
Justin Tucker
Kicker
","$3,500,000  ",2016
,,"
Joe Hawley
Center
","$3,500,000  ",2016
,,"
Brandon Mebane
Defensive Tackle
","$3,500,000  ",2016
360,,"
Anthony Barr
Outside Linebacker
","$3,475,500  ",2016
361,,"
Jermaine Gresham
Tight End
","$3,468,750  ",2016
,,"
Andre Smith
Guard
","$3,468,750  ",2016
,,"
Chris Ivory
Running Back
","$3,468,750  ",2016
364,,"
Brooks Reed
Defensive End
","$3,440,000  ",2016
365,,"
Jonathan Casillas
Outside Linebacker
","$3,416,666  ",2016
366,,"
Jordan Reed
Tight End
","$3,406,028  ",2016
367,,"
Cole Beasley
Wide Receiver
","$3,356,000  ",2016
368,,"
Nick Folk
Kicker
","$3,343,333  ",2016
369,,"
Eric Ebron
Tight End
","$3,340,676  ",2016
370,,"
Rishard Matthews
Wide Receiver
","$3,333,333  ",2016
371,,"
Vontaze Burfict
Outside Linebacker
","$3,322,059  ",2016
372,,"
Zach Ertz
Tight End
","$3,311,563  ",2016
373,,"
DeForest Buckner
Defensive Tackle
","$3,307,453  ",2016
374,,"
Dan Bailey
Kicker
","$3,300,000  ",2016
375,,"
Vic Beasley
Defensive End
","$3,294,370  ",2016
376,,"
D.J. Hayden
Cornerback
","$3,284,813  ",2016
377,,"
Ereck Flowers
Right Tackle
","$3,270,845  ",2016
378,,"
Jeremy Lane
Cornerback
","$3,250,000  ",2016
,,"
Richie Incognito
Guard
","$3,250,000  ",2016
,,"
Joe Reitz
Guard
","$3,250,000  ",2016
,,"
Adam Vinatieri
Kicker
","$3,250,000  ",2016
,,"
Justin Bethel
Cornerback
","$3,250,000  ",2016
,,"
Clinton McDonald
Defensive Tackle
","$3,250,000  ",2016
,,"
Tahir Whitehead
Outside Linebacker
","$3,250,000  ",2016
,,"
Shaun Hill
Quarterback
","$3,250,000  ",2016
386,,"
Demario Davis
Inside Linebacker
","$3,200,000  ",2016
,,"
Dennis Pitta
Tight End
","$3,200,000  ",2016
,,"
Dannell Ellerbe
Outside Linebacker
","$3,200,000  ",2016
,,"
Brandon Brooks
Guard
","$3,200,000  ",2016
390,,"
Anthony Fasano
Tight End
","$3,187,500  ",2016
,,"
Patrick Chung
Strong Safety
","$3,187,500  ",2016
392,,"
Matt Bryant
Kicker
","$3,183,333  ",2016
393,,"
Matt Prater
Kicker
","$3,175,000  ",2016
394,,"
Todd Gurley
Running Back
","$3,141,632  ",2016
395,,"
Phil Dawson
Kicker
","$3,134,000  ",2016
396,,"
Arthur Moats
Outside Linebacker
","$3,133,333  ",2016
397,,"
Taylor Lewan
Left Tackle
","$3,132,274  ",2016
398,,"
Koa Misi
Outside Linebacker
","$3,120,500  ",2016
399,,"
James Carpenter
Guard
","$3,115,000  ",2016
400,,"
Daryl Washington
Inside Linebacker
","$3,100,000  ",2016
,,"
Sam Koch
Punter
","$3,100,000  ",2016
402,,"
Sheldon Richardson
Defensive Tackle
","$3,094,530  ",2016
403,,"
Terron Armstead
Left Tackle
","$3,075,359  ",2016
404,,"
Dion Jordan
Defensive End
","$3,068,923  ",2016
405,,"
Jarius Wright
Wide Receiver
","$3,060,000  ",2016
406,,"
Star Lotulelei
Defensive Tackle
","$3,055,977  ",2016
407,,"
Thomas Morstead
Punter
","$3,050,000  ",2016
408,,"
Kevin Huber
Punter
","$3,020,000  ",2016
409,,"
Arthur Jones
Defensive Tackle
","$3,011,764  ",2016
410,,"
Ahtyba Rubin
Defensive Tackle
","$3,000,000  ",2016
,,"
Adrian Clayborn
Defensive End
","$3,000,000  ",2016
,,"
Darius Butler
Free Safety
","$3,000,000  ",2016
,,"
Nate Allen
Free Safety
","$3,000,000  ",2016
,,"
Malcolm Smith
Outside Linebacker
","$3,000,000  ",2016
,,"
Benjamin Watson
Tight End
","$3,000,000  ",2016
,,"
Daryl Smith
Inside Linebacker
","$3,000,000  ",2016
,,"
Christopher Conte
Free Safety
","$3,000,000  ",2016
,,"
Ricky Jean Francois
Defensive Tackle
","$3,000,000  ",2016
,,"
Terence Newman
Cornerback
","$3,000,000  ",2016
,,"
Matt Forte
Running Back
","$3,000,000  ",2016
,,"
Eugene Sims
Defensive End
","$3,000,000  ",2016
,,"
Vinny Curry
Defensive End
","$3,000,000  ",2016
,,"
Tyson Alualu
Defensive End
","$3,000,000  ",2016
