Player,Tm,Lg,AV,salary,index,college,state
Andy Dalton,CIN,NFL,91,"$1,185,045 ",,TCU,
Andy Dalton,CIN,NFL,91,"$1,422,054 ",,TCU,
Andy Dalton,CIN,NFL,91,"$9,059,063 ",,TCU,
Andy Dalton,CIN,NFL,91,"$9,600,000 ",,TCU,
Andy Dalton,CIN,NFL,91,"$13,100,000 ",,TCU,
Andy Dalton,CIN,NFL,91,"$15,700,000 ",,TCU,
Andy Dalton,CIN,NFL,91,"$16,300,000 ",,TCU,
Jason Peters,PHI,NFL,91,"$6,834,000 ",Arkansas State University,Arkansas,AR
Jason Peters,PHI,NFL,91,"$6,834,000 ",Arkansas State University,Arkansas,AR
Jason Peters,PHI,NFL,91,"$8,834,000 ",Arkansas State University,Arkansas,AR
Jason Peters,PHI,NFL,91,"$11,084,000 ",Arkansas State University,Arkansas,AR
Jason Peters,PHI,NFL,91,"$8,292,000 ",Arkansas State University,Arkansas,AR
Jason Peters,PHI,NFL,91,"$9,050,000 ",Arkansas State University,Arkansas,AR
Jason Peters,PHI,NFL,91,"$9,737,500 ",Arkansas State University,Arkansas,AR
